Designator,Mid X,Mid Y,Rotation,Layer
,164.7325,-118.845,270.0,top
D1,106.175,-108.53,0.0,top
D10,110.495,-119.18,0.0,top
D11,110.495,-122.73,0.0,top
D12,110.495,-126.28,0.0,top
D13,114.815,-108.53,0.0,top
D14,114.815,-112.08,0.0,top
D15,114.815,-115.63,0.0,top
D16,114.815,-119.18,0.0,top
D17,114.815,-122.73,0.0,top
D18,114.815,-126.28,0.0,top
D19,119.135,-108.53,0.0,top
D2,106.175,-112.08,0.0,top
D20,119.135,-112.08,0.0,top
D21,119.135,-115.63,0.0,top
D22,119.135,-119.18,0.0,top
D23,119.135,-122.73,0.0,top
D24,119.135,-126.28,0.0,top
D25,123.455,-108.53,0.0,top
D26,123.455,-112.08,0.0,top
D27,123.455,-115.63,0.0,top
D28,123.455,-119.18,0.0,top
D29,123.455,-122.73,0.0,top
D3,106.175,-115.63,0.0,top
D30,123.455,-126.28,0.0,top
D31,127.775,-108.53,0.0,top
D32,127.775,-112.08,0.0,top
D33,127.775,-115.63,0.0,top
D34,127.775,-119.18,0.0,top
D35,127.775,-122.73,0.0,top
D36,127.775,-126.28,0.0,top
D4,106.175,-119.18,0.0,top
D5,106.175,-122.73,0.0,top
D6,106.175,-126.28,0.0,top
D7,110.495,-108.53,0.0,top
D8,110.495,-112.08,0.0,top
D9,110.495,-115.63,0.0,top
J1,173.13,-126.85,90.0,bottom
Q1,151.35,-98.96,90.0,bottom
R1,147.24,-98.69,0.0,bottom
SW1,136.99,-111.7,90.0,top
SW2,136.97,-122.92,90.0,top
U1,173.2415,-111.825,90.0,bottom
U2,167.405,-95.765,0.0,bottom
